Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
SLP170D,"Clamshell, featuring a barlock, in a  rectangular footprint, 6.63 x 3.38 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",22.6,"6 ,⁄,3 ,⁄,1 ,⁄,16.8 X 8.6 X 4.9",18.4 X 11.3 X 5.1,,,400,17.4,"Cookies & Donuts,Pies, Tarts + Quiche","Bakery,Food Service,Processor",
SLP174,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",35.2,"6 ,⁄,3 ,⁄,3,16.8 X 8.7 X 7.6",18.4 X 11.3 X 7.9,,,400,16.7,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP17XD,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",28.7,"6 ,⁄,3 ,⁄,2 ,⁄,16.8 X 8.7 X 6.2",18.4 X 11.3 X 6.5,,,400,15.4,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP17D,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",21,"6 ,⁄,3 ,⁄,1 ,⁄,16.8 X 8.7 X 4.4",18.4 X 11.3 X 4.6,,,400,14.2,"Cookies & Donuts,Danish & Loafcakes,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP18,"Clamshell, featuring a barlock, 27oz, rectangular footprint, 7.88 x 3.5 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",26.5,"7 ,⁄,3 ,⁄,1 ,⁄,20.0 X 8.9 X 4.4",21.6 X 11.3 X 4.8,,,300,14.9,"Danish & Loafcakes,Deli,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP18D,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",36.8,"7 ,⁄,3 ,⁄,2 ,⁄,20.0 X 8.9 X 6.7",21.6 X 11.3 X 6.8,,,300,18.2,"Danish & Loafcakes,Deli,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP19,"Clamshell, featuring a barlock, 49oz, rectangular footprint, 7.88 x 3.5 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",48.4,"7 ,⁄,3 ,⁄,3 ,⁄,20.0 X 8.9 X 8.7",21.6 X 11.3 X 8.9,,,300,18.2,"Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
SLP20,"Clamshell, featuring a barlock, 28oz, square footprint, 4.63 x 4.63 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",27.7,"4 ,⁄,4 ,⁄,2 ,⁄,11.7 X 11.7 X 6.5",13.3 X 14.3 X 7.0,,,500,17.9,"Cakes,Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP206A,"Clamshell, featuring a barlock, with 6 compartments, in a rectangular footprint",https://www.inlineplastics.com/product_line/surelock/,6,6 (3 3/8 X 1 1/4 X 3 3/8),,"41.9,1239",8.6 X 3.2 X 8.6,12.7 X 19.2 X 9.0,50/50,192,11.2,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
SLP208,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",25.4,"8 ,⁄,4 ,⁄,1 ,⁄,20.8 X 10.3 X 4.0",22.4 X 13.2 X 4.8,,,250,12.4,"Deli,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP209,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",33.8,"9 ,⁄,4 ,⁄,2 ,⁄,23.0 X 11.4 X 5.6",24.9 X 15.4 X 5.9,,,250,19.5,"Deli,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
